site_name,site_code,fish_species,individual_code,fish_replicant,food_type_code,food_type_label,area_sum,total_area,prop
Emarti,M4,Labeo victorianus,1,1,AD,Attached diatoms,8842.458,8842.458,1
Emarti,M4,Labeo victorianus,1,1,DIATOM,Diatoms,252.64000000000001,252.64000000000001,1
Emarti,M4,Labeo victorianus,1,1,INSECT,Insects,1341,1341,1
Emarti,M4,Labeo victorianus,1,1,IO,Inorganic,1230.011,1230.011,1
Emarti,M4,Labeo victorianus,1,1,LD,Leaf detritus,9363.597000000002,9363.597000000002,1
Emarti,M4,Labeo victorianus,1,1,NAB,Non-attached biofilm,4071.3710000000005,4071.3710000000005,1
Emarti,M4,Labeo victorianus,1,2,AD,Attached diatoms,71830.364,71830.364,1
Emarti,M4,Labeo victorianus,1,2,DIATOM,Diatoms,1164.9239999999998,1164.9239999999998,1
Emarti,M4,Labeo victorianus,1,2,INSECT,Insects,758.8870000000001,758.8870000000001,1
Emarti,M4,Labeo victorianus,1,2,LD,Leaf detritus,34389.022,34389.022,1
Emarti,M4,Labeo victorianus,1,2,NAB,Non-attached biofilm,7291.119,7291.119,1
Emarti,M4,Labeo victorianus,1,3,AD,Attached diatoms,39102.64199999999,39102.64199999999,1
Emarti,M4,Labeo victorianus,1,3,DIATOM,Diatoms,385.936,385.936,1
Emarti,M4,Labeo victorianus,1,3,INSECT,Insects,1034.6,1034.6,1
Emarti,M4,Labeo victorianus,1,3,LD,Leaf detritus,31092.773000000005,31092.773000000005,1
Emarti,M4,Labeo victorianus,1,3,NAB,Non-attached biofilm,8058.7440000000015,8058.7440000000015,1
Emarti,M4,Labeo victorianus,2,1,AD,Attached diatoms,10136,10136,1
Emarti,M4,Labeo victorianus,2,1,VM,Vascular macrophyte,1475,1475,1
Emarti,M4,Labeo victorianus,2,2,AD,Attached diatoms,9844.394,9844.394,1
Emarti,M4,Labeo victorianus,2,2,NAB,Non-attached biofilm,4871.156,4871.156,1
Emarti,M4,Labeo victorianus,2,2,VM,Vascular macrophyte,236.775,236.775,1
Emarti,M4,Labeo victorianus,2,3,AD,Attached diatoms,7172.01,7172.01,1
Emarti,M4,Labeo victorianus,2,3,INSECT,Insects,1453.667,1453.667,1
Emarti,M4,Labeo victorianus,2,3,NAB,Non-attached biofilm,3695.437,3695.437,1
Emarti,M4,Labeo victorianus,3,1,AD,Attached diatoms,30686.772000000004,30686.772000000004,1
Emarti,M4,Labeo victorianus,3,1,DIATOM,Diatoms,1598.6919999999996,1598.6919999999996,1
Emarti,M4,Labeo victorianus,3,1,INSECT,Insects,172.935,172.935,1
Emarti,M4,Labeo victorianus,3,1,IO,Inorganic,1100,1100,1
Emarti,M4,Labeo victorianus,3,1,LD,Leaf detritus,6912.931999999999,6912.931999999999,1
Emarti,M4,Labeo victorianus,3,1,NAB,Non-attached biofilm,3369.6439999999993,3369.6439999999993,1
Emarti,M4,Labeo victorianus,3,2,AD,Attached diatoms,27708.261999999995,27708.261999999995,1
Emarti,M4,Labeo victorianus,3,2,DIATOM,Diatoms,2174.594000000001,2174.594000000001,1
Emarti,M4,Labeo victorianus,3,2,INSECT,Insects,777.5160000000001,777.5160000000001,1
Emarti,M4,Labeo victorianus,3,2,IO,Inorganic,142.199,142.199,1
Emarti,M4,Labeo victorianus,3,2,LD,Leaf detritus,18143.083000000002,18143.083000000002,1
Emarti,M4,Labeo victorianus,3,2,NAB,Non-attached biofilm,9922.415999999997,9922.415999999997,1
Emarti,M4,Labeo victorianus,3,2,VM,Vascular macrophyte,415.429,415.429,1
Emarti,M4,Labeo victorianus,3,3,AD,Attached diatoms,22537.887999999995,22537.887999999995,1
Emarti,M4,Labeo victorianus,3,3,DIATOM,Diatoms,1074.1069999999997,1074.1069999999997,1
Emarti,M4,Labeo victorianus,3,3,FH,Fish hair,39.3,39.3,1
Emarti,M4,Labeo victorianus,3,3,GRASS,Grass,24.2,24.2,1
Emarti,M4,Labeo victorianus,3,3,INSECT,Insects,169,169,1
Emarti,M4,Labeo victorianus,3,3,LD,Leaf detritus,17303.315000000006,17303.315000000006,1
Emarti,M4,Labeo victorianus,3,3,NAB,Non-attached biofilm,7897.306999999999,7897.306999999999,1
Emarti,M4,Labeobarbus altianalis,1,1,AD,Attached diatoms,7633.682000000001,7633.682000000001,1
Emarti,M4,Labeobarbus altianalis,1,1,GRASS,Grass,480.029,480.029,1
Emarti,M4,Labeobarbus altianalis,1,1,INSECT,Insects,241.511,241.511,1
Emarti,M4,Labeobarbus altianalis,1,1,IO,Inorganic,1282.116,1282.116,1
Emarti,M4,Labeobarbus altianalis,1,1,LD,Leaf detritus,22801.911999999993,22801.911999999993,1
Emarti,M4,Labeobarbus altianalis,1,1,NAB,Non-attached biofilm,6729.5120000000015,6729.5120000000015,1
Emarti,M4,Labeobarbus altianalis,1,1,VM,Vascular macrophyte,1885.6689999999999,1885.6689999999999,1
Emarti,M4,Labeobarbus altianalis,1,2,AD,Attached diatoms,10687.008000000002,10687.008000000002,1
Emarti,M4,Labeobarbus altianalis,1,2,DIATOM,Diatoms,184.997,184.997,1
Emarti,M4,Labeobarbus altianalis,1,2,GRASS,Grass,221.809,221.809,1
Emarti,M4,Labeobarbus altianalis,1,2,INSECT,Insects,459.613,459.613,1
Emarti,M4,Labeobarbus altianalis,1,2,IO,Inorganic,886.5229999999999,886.5229999999999,1
Emarti,M4,Labeobarbus altianalis,1,2,LD,Leaf detritus,385.003,385.003,1
Emarti,M4,Labeobarbus altianalis,1,2,NAB,Non-attached biofilm,7203.112,7203.112,1
Emarti,M4,Labeobarbus altianalis,1,2,VM,Vascular macrophyte,3288.7420000000006,3288.7420000000006,1
Emarti,M4,Labeobarbus altianalis,3,1,AD,Attached diatoms,12214.522999999996,12214.522999999996,1
Emarti,M4,Labeobarbus altianalis,3,1,GRASS,Grass,257.549,257.549,1
Emarti,M4,Labeobarbus altianalis,3,1,IO,Inorganic,1084.475,1084.475,1
Emarti,M4,Labeobarbus altianalis,3,1,LD,Leaf detritus,6001.674000000001,6001.674000000001,1
Emarti,M4,Labeobarbus altianalis,3,1,NAB,Non-attached biofilm,18091.378999999997,18091.378999999997,1
Emarti,M4,Labeobarbus altianalis,3,1,VM,Vascular macrophyte,119.281,119.281,1
Emarti,M4,Labeobarbus altianalis,3,2,AD,Attached diatoms,15190.521999999999,15190.521999999999,1
Emarti,M4,Labeobarbus altianalis,3,2,GRASS,Grass,880.223,880.223,1
Emarti,M4,Labeobarbus altianalis,3,2,IO,Inorganic,637.595,637.595,1
Emarti,M4,Labeobarbus altianalis,3,2,LD,Leaf detritus,9511.311,9511.311,1
Emarti,M4,Labeobarbus altianalis,3,2,NAB,Non-attached biofilm,4818.289,4818.289,1
Emarti,M4,Labeobarbus altianalis,3,3,AD,Attached diatoms,27159.477000000006,27159.477000000006,1
Emarti,M4,Labeobarbus altianalis,3,3,DIATOM,Diatoms,147.28,147.28,1
Emarti,M4,Labeobarbus altianalis,3,3,GRASS,Grass,825.5,825.5,1
Emarti,M4,Labeobarbus altianalis,3,3,INSECT,Insects,52.984,52.984,1
Emarti,M4,Labeobarbus altianalis,3,3,IO,Inorganic,589.533,589.533,1
Emarti,M4,Labeobarbus altianalis,3,3,LD,Leaf detritus,4779.559000000001,4779.559000000001,1
Emarti,M4,Labeobarbus altianalis,3,3,NAB,Non-attached biofilm,30496.30100000001,30496.30100000001,1
Emarti,M4,Labeobarbus altianalis,5,1,AD,Attached diatoms,19114.81599999999,19114.81599999999,1
Emarti,M4,Labeobarbus altianalis,5,1,DIATOM,Diatoms,217.13099999999997,217.13099999999997,1
Emarti,M4,Labeobarbus altianalis,5,1,FH,Fish hair,416.124,416.124,1
Emarti,M4,Labeobarbus altianalis,5,1,INSECT,Insects,552,552,1
Emarti,M4,Labeobarbus altianalis,5,1,IO,Inorganic,283,283,1
Emarti,M4,Labeobarbus altianalis,5,1,LD,Leaf detritus,850.158,850.158,1
Emarti,M4,Labeobarbus altianalis,5,1,NAB,Non-attached biofilm,10039.696000000002,10039.696000000002,1
Emarti,M4,Labeobarbus altianalis,5,1,VM,Vascular macrophyte,1656.701,1656.701,1
Emarti,M4,Labeobarbus altianalis,5,2,AD,Attached diatoms,19134.391999999996,19134.391999999996,1
Emarti,M4,Labeobarbus altianalis,5,2,DIATOM,Diatoms,75.186,75.186,1
Emarti,M4,Labeobarbus altianalis,5,2,FH,Fish hair,122.632,122.632,1
Emarti,M4,Labeobarbus altianalis,5,2,IO,Inorganic,280.076,280.076,1
Emarti,M4,Labeobarbus altianalis,5,2,LD,Leaf detritus,246.463,246.463,1
Emarti,M4,Labeobarbus altianalis,5,2,NAB,Non-attached biofilm,13623.861999999997,13623.861999999997,1
Emarti,M4,Labeobarbus altianalis,5,2,VM,Vascular macrophyte,534.5,534.5,1
Emarti,M4,Labeobarbus altianalis,5,3,AD,Attached diatoms,6532.4479999999985,6532.4479999999985,1
