site_name,site_code,fish_species,individual_code,fish_replicant,AD,DIATOM,INSECT,IO,LD,NAB,VM,FH,GRASS,FA,LH,GW
Emarti,M4,Labeo victorianus,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Emarti,M4,Labeo victorianus,1,2,1,1,1,0,1,1,0,0,0,0,0,0
Emarti,M4,Labeo victorianus,1,3,1,1,1,0,1,1,0,0,0,0,0,0
Emarti,M4,Labeo victorianus,2,1,1,0,0,0,0,0,1,0,0,0,0,0
Emarti,M4,Labeo victorianus,2,2,1,0,0,0,0,1,1,0,0,0,0,0
Emarti,M4,Labeo victorianus,2,3,1,0,1,0,0,1,0,0,0,0,0,0
Emarti,M4,Labeo victorianus,3,1,1,1,1,1,1,1,0,0,0,0,0,0
Emarti,M4,Labeo victorianus,3,2,1,1,1,1,1,1,1,0,0,0,0,0
Emarti,M4,Labeo victorianus,3,3,1,1,1,0,1,1,0,1,1,0,0,0
Emarti,M4,Labeobarbus altianalis,1,1,1,0,1,1,1,1,1,0,1,0,0,0
Emarti,M4,Labeobarbus altianalis,1,2,1,1,1,1,1,1,1,0,1,0,0,0
Emarti,M4,Labeobarbus altianalis,3,1,1,0,0,1,1,1,1,0,1,0,0,0
Emarti,M4,Labeobarbus altianalis,3,2,1,0,0,1,1,1,0,0,1,0,0,0
Emarti,M4,Labeobarbus altianalis,3,3,1,1,1,1,1,1,0,0,1,0,0,0
Emarti,M4,Labeobarbus altianalis,5,1,1,1,1,1,1,1,1,1,0,0,0,0
Emarti,M4,Labeobarbus altianalis,5,2,1,1,0,1,1,1,1,1,0,0,0,0
Emarti,M4,Labeobarbus altianalis,5,3,1,1,0,0,0,1,1,1,0,0,0,0
Engipai,M7,Labeo victorianus,2,1,1,1,1,1,1,1,1,0,1,1,0,0
Engipai,M7,Labeo victorianus,2,2,1,1,1,1,1,1,0,0,0,1,0,0
Engipai,M7,Labeo victorianus,2,3,1,1,0,1,1,1,0,0,0,0,0,0
Engipai,M7,Labeo victorianus,4,1,1,1,1,0,1,1,1,0,1,0,0,0
Engipai,M7,Labeo victorianus,4,2,1,1,1,1,1,1,1,0,0,0,0,0
Engipai,M7,Labeo victorianus,4,3,1,1,1,1,1,1,1,0,0,0,0,0
Engipai,M7,Labeobarbus altianalis,1,1,1,1,1,0,1,1,1,0,1,0,0,0
Engipai,M7,Labeobarbus altianalis,1,2,1,1,0,0,1,1,0,0,1,0,0,0
Engipai,M7,Labeobarbus altianalis,1,3,1,1,0,0,1,1,0,1,1,0,0,0
Engipai,M7,Labeobarbus altianalis,2,1,1,1,1,1,1,1,0,1,0,0,0,0
Engipai,M7,Labeobarbus altianalis,2,2,1,1,0,1,1,1,0,0,0,0,1,0
Engipai,M7,Labeobarbus altianalis,2,3,1,1,1,0,1,1,0,1,0,1,1,0
Engipai,M7,Labeobarbus altianalis,3,1,1,1,1,0,1,1,1,1,1,1,0,0
Engipai,M7,Labeobarbus altianalis,3,2,1,1,1,0,1,1,1,0,1,1,0,0
Engipai,M7,Labeobarbus altianalis,3,3,1,1,1,0,1,1,1,1,0,1,0,0
NMB,M9,Labeo victorianans,4,2,0,0,0,0,0,1,0,0,0,0,0,0
NMB,M9,Labeo victorianus,4,1,1,1,1,1,1,1,1,1,0,0,0,0
NMB,M9,Labeo victorianus,4,2,1,1,1,1,1,1,0,1,1,0,0,0
NMB,M9,Labeo victorianus,4,3,1,1,1,1,1,1,1,0,1,0,0,0
NMB,M9,Labeo victorianus,5,1,1,1,1,1,1,1,1,1,1,1,0,1
NMB,M9,Labeo victorianus,5,2,1,1,0,1,1,1,1,1,1,0,0,0
NMB,M9,Labeo victorianus,5,3,1,1,1,1,1,1,1,1,1,0,0,0
NMB,M9,Labeobarbus altianalis,5,1,1,1,1,1,1,1,1,0,1,1,0,0
NMB,M9,Labeobarbus altianalis,5,2,1,0,0,0,1,1,0,0,0,0,0,0
